id,section,section_vi,japanese,reading,vietnamese,usage,level,example_jp,example_vi
v023,1.2,Chức vụ & Tổ chức,主任,shunin,Chủ nhiệm,Senior staff,J4,主任がチェックしてくれました。,Chủ nhiệm đã kiểm tra.
v024,1.2,Chức vụ & Tổ chức,先輩,senpai,Tiền bối,Người vào trước,J5,先輩に教えていただきました。,Được tiền bối chỉ dạy.
v025,1.2,Chức vụ & Tổ chức,後輩,kouhai,Hậu bối,Người vào sau,J5,後輩の指導を担当しています。,Phụ trách hướng dẫn hậu bối.
v026,1.2,Chức vụ & Tổ chức,同僚,douryou,Đồng nghiệp,Colleague,J5,同僚と協力して進めます。,Hợp tác với đồng nghiệp.
v027,1.2,Chức vụ & Tổ chức,新入社員,shinnyuushain,Nhân viên mới,New employee,J5,新入社員の研修が始まります。,Đào tạo nhân viên mới bắt đầu.
v028,1.2,Chức vụ & Tổ chức,正社員,seishain,Nhân viên chính thức,Full-time,J4,正社員として採用されました。,Được tuyển chính thức.
v029,1.2,Chức vụ & Tổ chức,派遣社員,hakenshain,NV phái cử,Dispatch worker,J4,派遣社員の契約を更新します。,Gia hạn hợp đồng phái cử.
v030,1.2,Chức vụ & Tổ chức,パート・アルバイト,paato/arubaito,NV bán thời gian,Part-time,J5,アルバイトを募集しています。,Đang tuyển part-time.
v031,1.3,Phòng ban,営業部,eigyoubu,Phòng Kinh doanh,Sales,J5,営業部の目標を達成しました。,Đạt mục tiêu KD.
v032,1.3,Phòng ban,総務部,soumubu,Phòng Tổng vụ,General affairs,J4,総務部に届出を出してください。,Nộp đơn cho tổng vụ.
v033,1.3,Phòng ban,経理部,keiribu,Phòng Kế toán,Accounting,J4,経理部に経費精算を提出します。,Nộp thanh toán cho kế toán.
v034,1.3,Phòng ban,人事部,jinjibu,Phòng Nhân sự,HR,J4,人事部から連絡がありました。,Có liên lạc từ nhân sự.
v035,1.3,Phòng ban,企画部,kikakubu,Phòng Kế hoạch,Planning,J4,企画部が新しい提案を出しました。,KH đưa ra đề xuất mới.
v036,1.3,Phòng ban,製造部,seizoubu,Phòng Sản xuất,Manufacturing,J4,製造部と品質について打ち合わせします。,Họp với SX về chất lượng.
v037,1.3,Phòng ban,技術部,gijutsubu,Phòng Kỹ thuật,Engineering,J4,技術部に問い合わせてみます。,Hỏi phòng kỹ thuật.
v038,1.3,Phòng ban,開発部,kaihatsubu,Phòng R&D,Development,J4,開発部が新製品を発表しました。,R&D công bố sản phẩm mới.
v039,1.3,Phòng ban,法務部,houmubu,Phòng Pháp chế,Legal,J3,契約書は法務部に確認してもらいます。,Hợp đồng nhờ pháp chế xác nhận.
v040,1.3,Phòng ban,広報部,kouhoubu,Phòng PR,Public relations,J3,広報部がプレスリリースを出しました。,PR phát thông cáo.
v041,1.3,Phòng ban,情報システム部,jouhou shisutemu bu,Phòng IT,IT department,J3,パソコンの不具合は情報システム部に連絡してください。,PC lỗi liên hệ IT.
v042,1.4,Họp hành & Báo cáo,会議,kaigi,Cuộc họp,Meeting,J5,午後3時から会議があります。,Có họp từ 3h chiều.
v043,1.4,Họp hành & Báo cáo,打ち合わせ,uchiawase,Buổi trao đổi / Họp nhỏ,Discussion meeting,J4,クライアントとの打ち合わせがあります。,Có trao đổi với khách.
v044,1.4,Họp hành & Báo cáo,ミーティング,miitingu,Meeting,Ít trang trọng hơn 会議,J5,朝のミーティングに参加してください。,Tham gia meeting sáng.
v045,1.4,Họp hành & Báo cáo,議題,gidai,Nghị đề,Agenda item,J4,本日の議題は3つあります。,Hôm nay có 3 nghị đề.
v046,1.4,Họp hành & Báo cáo,議事録,gijiroku,Biên bản họp,Minutes,J4,議事録を作成して共有してください。,Lập biên bản và chia sẻ.
v047,1.4,Họp hành & Báo cáo,アジェンダ,ajenda,Chương trình họp,Agenda,J4,会議のアジェンダを事前に送ります。,Gửi trước chương trình họp.
v048,1.4,Họp hành & Báo cáo,資料,shiryou,Tài liệu,Documents,J5,会議の資料を準備しました。,Đã chuẩn bị tài liệu.
v049,1.4,Họp hành & Báo cáo,報告,houkoku,Báo cáo,Report,J5,進捗状況を報告いたします。,Báo cáo tiến độ.
v050,1.4,Họp hành & Báo cáo,連絡,renraku,Liên lạc / Thông báo,"Contact, inform",J5,至急ご連絡ください。,Liên lạc gấp.
v051,1.4,Họp hành & Báo cáo,相談,soudan,Trao đổi,Consult,J5,ちょっとご相談したいのですが。,Muốn trao đổi chút.
v052,1.4,Họp hành & Báo cáo,報連相,hourensou,Báo-Liên-Trao (nguyên tắc vàng),報告連絡相談: nguyên tắc giao tiếp cơ bản nhất,J4,報連相を徹底してください。,Tuân thủ Hourensou.
v053,1.4,Họp hành & Báo cáo,プレゼン,purezen,Thuyết trình,Presentation,J4,来週のプレゼンの準備をしています。,Chuẩn bị thuyết trình tuần sau.
v054,1.4,Họp hành & Báo cáo,発表,happyou,Phát biểu / Công bố,Announcement,J4,研究結果を発表します。,Công bố kết quả nghiên cứu.
v055,1.4,Họp hành & Báo cáo,質疑応答,shitsugioutou,Hỏi đáp (Q&A),Q&A session,J3,質疑応答の時間を設けます。,Dành thời gian Q&A.
v056,1.4,Họp hành & Báo cáo,決議,ketsugi,Quyết nghị,Resolution,J2,全会一致で決議されました。,Nhất trí quyết nghị.
v057,1.5,Email & Văn bản,件名,kenmei,Tiêu đề email,Subject,J4,件名を明確に書いてください。,Viết tiêu đề rõ ràng.
v058,1.5,Email & Văn bản,宛先,atesaki,Người nhận (To),Recipient,J4,宛先を間違えないようにしてください。,Đừng nhầm người nhận.
v059,1.5,Email & Văn bản,CC,shiishii,Đồng gửi,Carbon copy,J4,部長をCCに入れてください。,CC trưởng phòng.
v060,1.5,Email & Văn bản,添付,tenpu,Đính kèm,Attachment,J4,ファイルを添付いたします。,Đính kèm file.
v061,1.5,Email & Văn bản,返信,henshin,Trả lời (reply),Reply,J4,ご返信お待ちしております。,Chờ hồi âm.
v062,1.5,Email & Văn bản,転送,tensou,Chuyển tiếp (forward),Forward,J4,関係者に転送しておきます。,Chuyển tiếp cho người liên quan.
v063,1.5,Email & Văn bản,見積書,mitsumorisho,Bảng báo giá,Quotation,J3,見積書を作成しました。,Đã lập báo giá.
v064,1.5,Email & Văn bản,請求書,seikyuusho,Hóa đơn,Invoice,J3,請求書を月末にお送りします。,Gửi hóa đơn cuối tháng.
v065,1.5,Email & Văn bản,契約書,keiyakusho,Hợp đồng,Contract,J3,契約書に署名捺印をお願いします。,Ký tên đóng dấu hợp đồng.
v066,1.5,Email & Văn bản,納品書,nouhinsho,Phiếu giao hàng,Delivery slip,J3,納品書と一緒にお届けします。,Giao kèm phiếu giao hàng.
v067,1.5,Email & Văn bản,領収書,ryoushuusho,Biên lai,Receipt,J4,領収書を発行してください。,Phát hành biên lai.
v068,1.5,Email & Văn bản,稟議書,ringisho,Đơn xin phê duyệt nội bộ,Internal approval form,J2,稟議書を回して承認を得ます。,Luân chuyển đơn phê duyệt.
v069,1.6,Công việc & Nhân sự,業務,gyoumu,Nghiệp vụ,Business operations,J5,業務内容を説明します。,Giải thích nội dung công việc.
v070,1.6,Công việc & Nhân sự,担当,tantou,Phụ trách,In charge,J5,この案件の担当は佐藤です。,Người phụ trách là Satou.
v071,1.6,Công việc & Nhân sự,締め切り,shimekiri,Hạn chót / Deadline,Due date,J5,締め切りは来週の金曜日です。,Deadline thứ Sáu tuần sau.
v072,1.6,Công việc & Nhân sự,納期,nouki,Thời hạn giao hàng,Delivery deadline,J3,納期に間に合うよう努力します。,Cố gắng kịp deadline giao hàng.
v073,1.6,Công việc & Nhân sự,進捗,shinchoku,Tiến độ,Progress,J4,進捗はいかがですか。,Tiến độ sao rồi?
v074,1.6,Công việc & Nhân sự,引き継ぎ,hikitsugi,Bàn giao,Handover,J4,退職前に引き継ぎを完了させます。,Bàn giao trước khi nghỉ.
v075,1.6,Công việc & Nhân sự,残業,zangyou,Tăng ca,Overtime,J5,今月は残業が多いです。,Tháng này tăng ca nhiều.
v076,1.6,Công việc & Nhân sự,有給休暇,yuukyuu kyuuka,Nghỉ phép có lương,Paid leave,J4,有給休暇を取りたいです。,Muốn xin nghỉ phép.
v077,1.6,Công việc & Nhân sự,出張,shutchou,Đi công tác,Business trip,J4,来週大阪に出張します。,Tuần sau công tác Osaka.
v078,1.6,Công việc & Nhân sự,研修,kenshuu,Đào tạo,Training,J4,ビジネスマナー研修があります。,Có đào tạo ứng xử.
v079,1.6,Công việc & Nhân sự,配属,haizoku,Phân công,Assignment,J4,営業部に配属されました。,Được phân công vào KD.
v080,1.6,Công việc & Nhân sự,異動,idou,Chuyển công tác,Transfer,J3,来月、本社に異動になります。,Tháng sau chuyển về trụ sở.
v081,1.6,Công việc & Nhân sự,昇進,shoushin,Thăng chức,Promotion,J3,課長に昇進しました。,Thăng chức trưởng ban.
v082,1.6,Công việc & Nhân sự,退職,taishoku,Nghỉ việc,Resignation,J4,退職届を提出しました。,Nộp đơn nghỉ việc.
v083,1.6,Công việc & Nhân sự,面接,mensetsu,Phỏng vấn,Interview,J4,面接は来週の月曜日です。,Phỏng vấn thứ Hai tuần sau.
v084,1.6,Công việc & Nhân sự,履歴書,rirekisho,CV kiểu Nhật,Resume,J4,履歴書を提出してください。,Nộp CV.
v085,1.6,Công việc & Nhân sự,給与,kyuuyo,Lương,Salary,J4,給与は毎月25日支払いです。,Lương trả ngày 25.
v086,1.6,Công việc & Nhân sự,賞与,shouyo,Thưởng,Bonus,J3,夏と冬に賞与があります。,Có thưởng hè và đông.
v087,1.6,Công việc & Nhân sự,手当,teate,Phụ cấp,Allowance,J4,交通手当が支給されます。,Được phụ cấp đi lại.
v088,1.7,Kinh doanh & Đàm phán,取引,torihiki,Giao dịch,Transaction,J3,新規取引を開始します。,Bắt đầu giao dịch mới.
v089,1.7,Kinh doanh & Đàm phán,取引先,torihikisaki,Đối tác KD,Business partner,J3,取引先を訪問します。,Thăm đối tác.
v090,1.7,Kinh doanh & Đàm phán,顧客,kokyaku,Khách hàng,Customer,J3,顧客満足度を向上させます。,Nâng cao hài lòng KH.
v091,1.7,Kinh doanh & Đàm phán,商談,shoudan,Thương thảo,Business talk,J3,商談が成立しました。,Thương thảo thành công.
v092,1.7,Kinh doanh & Đàm phán,提案,teian,Đề xuất,Proposal,J3,新しい提案をいたします。,Đưa ra đề xuất mới.
v093,1.7,Kinh doanh & Đàm phán,検討,kentou,Xem xét / Cân nhắc,"Review, consider",J3,ご検討いただければ幸いです。,Rất vui nếu cân nhắc.
v094,1.7,Kinh doanh & Đàm phán,交渉,koushou,Đàm phán,Negotiation,J3,条件について交渉します。,Đàm phán điều kiện.
v095,1.7,Kinh doanh & Đàm phán,受注,juchuu,Nhận đơn hàng,Receive order,J3,大型案件を受注しました。,Nhận đơn hàng lớn.
v096,1.7,Kinh doanh & Đàm phán,発注,hatchuu,Đặt hàng,Place order,J3,部品を発注してください。,Đặt hàng linh kiện.
v097,1.7,Kinh doanh & Đàm phán,納品,nouhin,Giao hàng,Delivery,J3,来週月曜日に納品いたします。,Giao hàng thứ Hai tuần sau.
v098,1.7,Kinh doanh & Đàm phán,在庫,zaiko,Tồn kho,Inventory,J3,在庫を確認します。,Kiểm tra tồn kho.
v099,1.7,Kinh doanh & Đàm phán,見積もり,mitsumori,Báo giá,Estimate,J3,見積もりを出してください。,Gửi báo giá.
v100,1.7,Kinh doanh & Đàm phán,値引き,nebiki,Giảm giá,Discount,J3,10%の値引きが可能です。,Có thể giảm 10%.
v101,1.7,Kinh doanh & Đàm phán,競合,kyougou,Đối thủ cạnh tranh,Competitor,J2,競合他社を分析します。,Phân tích đối thủ.
v102,1.7,Kinh doanh & Đàm phán,シェア,shea,Thị phần,Market share,J2,市場シェアを拡大します。,Mở rộng thị phần.
v103,1.8,Tài chính & Kế toán,売上,uriage,Doanh thu,Revenue,J3,今月の売上は前年比10%増です。,Doanh thu tăng 10%.
v104,1.8,Tài chính & Kế toán,利益,rieki,Lợi nhuận,Profit,J3,営業利益が改善しました。,Lợi nhuận KD cải thiện.
v105,1.8,Tài chính & Kế toán,損失,sonshitsu,Tổn thất / Lỗ,Loss,J3,為替差損が発生しました。,Phát sinh lỗ tỷ giá.
v106,1.8,Tài chính & Kế toán,経費,keihi,Chi phí,Expenses,J3,経費を削減する必要があります。,Cần cắt giảm chi phí.
v107,1.8,Tài chính & Kế toán,予算,yosan,Ngân sách,Budget,J3,来年度の予算を策定中です。,Đang lập ngân sách.
v108,1.8,Tài chính & Kế toán,決算,kessan,Quyết toán,Financial settlement,J2,四半期決算の報告書を準備します。,Chuẩn bị báo cáo quyết toán quý.
v109,1.8,Tài chính & Kế toán,投資,toushi,Đầu tư,Investment,J3,設備投資を行います。,Đầu tư thiết bị.
v110,1.8,Tài chính & Kế toán,株式,kabushiki,Cổ phiếu,Stock,J2,株式を上場する予定です。,Dự kiến niêm yết.
v111,1.8,Tài chính & Kế toán,原価,genka,Giá vốn,Cost price,J3,原価を下げる方法を検討します。,Xem xét giảm giá thành.
v112,1.8,Tài chính & Kế toán,収支,shuushi,Thu chi,Income/expenditure,J3,月次の収支報告を出します。,Báo cáo thu chi hàng tháng.
v113,1.9,Điện thoại & Tiếp khách,お電話ありがとうございます,odenwa arigatou gozaimasu,Cảm ơn đã gọi điện,Nhấc máy tại công ty,J4,お電話ありがとうございます。ABC株式会社でございます。,Cảm ơn đã gọi. Đây là công ty ABC.
v114,1.9,Điện thoại & Tiếp khách,少々お待ちください,shoushou omachi kudasai,Xin chờ một chút,"Chuyển máy, tra thông tin",J4,少々お待ちください。おつなぎいたします。,Xin chờ. Tôi chuyển máy.
v115,1.9,Điện thoại & Tiếp khách,伝言,dengon,Lời nhắn,Message,J4,伝言をお預かりしましょうか。,Để tôi nhận lời nhắn?
v116,1.9,Điện thoại & Tiếp khách,折り返し,orikaeshi,Gọi lại,Return call,J4,折り返しお電話いたします。,Sẽ gọi lại.
v117,1.9,Điện thoại & Tiếp khách,席を外しております,seki wo hazushite orimasu,Đang vắng chỗ,Sếp/đồng nghiệp không có,J4,佐藤はただいま席を外しております。,Satou đang vắng chỗ.
v118,1.9,Điện thoại & Tiếp khách,名刺,meishi,Danh thiếp,Business card,J4,名刺を交換しましょう。,Trao đổi danh thiếp.
v119,1.9,Điện thoại & Tiếp khách,ご案内いたします,goannai itashimasu,Tôi xin hướng dẫn,Dẫn khách đến phòng họp,J3,会議室にご案内いたします。,Hướng dẫn đến phòng họp.
v120,1.10,Sản xuất & Chất lượng,製品,seihin,Sản phẩm,Product,J4,新製品を発売します。,Ra mắt SP mới.
v121,1.10,Sản xuất & Chất lượng,部品,buhin,Linh kiện,Parts,J4,部品が不足しています。,Thiếu linh kiện.
v122,1.10,Sản xuất & Chất lượng,品質,hinshitsu,Chất lượng,Quality,J4,品質管理を徹底します。,Quản lý CL triệt để.
v123,1.10,Sản xuất & Chất lượng,検品,kenpin,Kiểm tra hàng,Inspection,J3,出荷前に検品を行います。,Kiểm tra trước khi xuất.
v124,1.10,Sản xuất & Chất lượng,不良品,furyouhin,Hàng lỗi,Defective,J3,不良品の発生率を下げます。,Giảm tỷ lệ lỗi.
v125,1.10,Sản xuất & Chất lượng,出荷,shukka,Xuất hàng,Shipment,J3,本日中に出荷します。,Xuất hàng trong ngày.
v126,1.10,Sản xuất & Chất lượng,仕様,shiyou,Thông số kỹ thuật,Specification,J3,仕様書を確認してください。,Xác nhận bản spec.
v127,1.10,Sản xuất & Chất lượng,工程,koutei,Quy trình / Công đoạn,Process,J3,製造工程を見直します。,Rà soát quy trình SX.
v128,1.11,Katakana Business Terms,リスケ,risuke,Dời lịch,Reschedule,J4,打ち合わせをリスケしたいのですが。,Muốn dời lịch họp.
v129,1.11,Katakana Business Terms,フィードバック,fiido bakku,Phản hồi,Feedback,J4,フィードバックをお願いします。,Xin cho phản hồi.
v130,1.11,Katakana Business Terms,コンセンサス,konsensasu,Đồng thuận,Consensus,J3,チーム内のコンセンサスを得ます。,Đạt đồng thuận trong nhóm.
v131,1.11,Katakana Business Terms,エスカレーション,esukareeshon,Chuyển lên cấp trên,Escalation,J3,この問題はエスカレーションが必要です。,Cần chuyển lên cấp trên.
v132,1.11,Katakana Business Terms,コンプライアンス,konpuraiansu,Tuân thủ pháp luật,Compliance,J2,コンプライアンスを遵守してください。,Tuân thủ quy định.
v133,1.11,Katakana Business Terms,アサイン,asain,Phân công,Assign,J3,新しいタスクにアサインされました。,Được phân công task mới.
v134,1.11,Katakana Business Terms,KPI,kei pii ai,Chỉ số hiệu suất,Key Performance Indicator,J2,KPIを設定しましょう。,Đặt KPI.
v135,1.11,Katakana Business Terms,PDCAサイクル,PDCA saikuru,Chu trình PDCA,Plan-Do-Check-Act,J3,PDCAサイクルを回して改善します。,Cải tiến qua PDCA.
v136,1.11,Katakana Business Terms,リソース,risosu,Nguồn lực,Resources,J3,リソースが足りません。,Không đủ nguồn lực.
v137,1.11,Katakana Business Terms,ローンチ,roonchi,Ra mắt,Launch,J3,来月新サービスをローンチします。,Ra mắt dịch vụ mới tháng sau.
v138,1.11,Katakana Business Terms,ペンディング,pendingu,Tạm hoãn,Pending,J3,この案件はペンディングにしてください。,Tạm hoãn dự án này.
v139,1.11,Katakana Business Terms,フィックス,fikkusu,Chốt,Fix/finalize,J3,日程をフィックスしましょう。,Chốt lịch.
v140,1.11,Katakana Business Terms,OJT,oo jei tii,Đào tạo tại chỗ,On the Job Training,J4,新人はOJTで学びます。,NV mới học qua OJT.
v141,1.11,Katakana Business Terms,ナレッジ,narejji,Kiến thức,Knowledge sharing,J3,ナレッジを共有しましょう。,Chia sẻ kiến thức.
v142,1.11,Katakana Business Terms,コスト,kosuto,Chi phí,Cost,J4,コスト削減に取り組みます。,Nỗ lực giảm chi phí.
v143,1.11,Katakana Business Terms,ニーズ,niizu,Nhu cầu,Needs,J3,顧客のニーズを把握します。,Nắm nhu cầu KH.
v144,1.11,Katakana Business Terms,マイルストーン,mairusutoon,Cột mốc,Milestone,J2,プロジェクトのマイルストーンを確認します。,Xác nhận cột mốc dự án.
v145,1.12,Pháp luật & Bảo hiểm (cho người nước ngoài),在留カード,zairyuu kaado,Thẻ cư trú,Residence card,J4,在留カードを常に携帯してください。,Luôn mang theo thẻ cư trú.
v146,1.12,Pháp luật & Bảo hiểm (cho người nước ngoài),在留資格,zairyuu shikaku,Tư cách lưu trú / Visa,Status of residence,J4,在留資格の変更手続きをします。,Làm thủ tục đổi visa.
v147,1.12,Pháp luật & Bảo hiểm (cho người nước ngoài),技術・人文知識・国際業務,gijutsu jinbun chishiki kokusai gyoumu,Kỹ thuật/Nhân văn/Quốc tế,Visa làm việc phổ biến nhất,J3,技人国ビザで働いています。,Làm việc với visa kỹ nhân quốc.
v148,1.12,Pháp luật & Bảo hiểm (cho người nước ngoài),特定技能,tokutei ginou,Kỹ năng đặc định,Specified skilled worker,J3,特定技能1号で来日しました。,Đến Nhật với visa KNĐD 1.
v149,1.12,Pháp luật & Bảo hiểm (cho người nước ngoài),健康保険,kenkou hoken,Bảo hiểm y tế,Health insurance,J4,健康保険に加入しています。,Đã tham gia BHYT.
v150,1.12,Pháp luật & Bảo hiểm (cho người nước ngoài),厚生年金,kousei nenkin,Bảo hiểm hưu trí,Pension,J3,厚生年金の保険料が天引きされます。,Phí BHHT bị trừ từ lương.
v151,1.12,Pháp luật & Bảo hiểm (cho người nước ngoài),雇用保険,koyou hoken,BH thất nghiệp,Employment insurance,J3,雇用保険の手続きをしてください。,Làm thủ tục BH thất nghiệp.
v152,1.12,Pháp luật & Bảo hiểm (cho người nước ngoài),マイナンバー,mainanbaa,Mã số cá nhân,My Number,J4,マイナンバーカードを作りましたか。,Đã làm thẻ My Number chưa?
v153,1.12,Pháp luật & Bảo hiểm (cho người nước ngoài),確定申告,kakutei shinkoku,Khai thuế cuối năm,Tax return,J3,確定申告の時期が来ました。,Đến mùa khai thuế.
v154,1.12,Pháp luật & Bảo hiểm (cho người nước ngoài),源泉徴収,gensen choushuu,Khấu trừ thuế tại nguồn,Withholding tax,J2,給与から源泉徴収されます。,Thuế khấu trừ từ lương.
v155,2.1,Chào hỏi & Ứng xử (bổ sung),ごぶさたしております,gobusata shite orimasu,Lâu rồi không liên lạc,Gặp lại sau thời gian dài,J3,ごぶさたしております。お元気でしたか。,Lâu không gặp. Anh khỏe không?
v156,2.1,Chào hỏi & Ứng xử (bổ sung),お久しぶりです,ohisashiburi desu,Lâu rồi không gặp,Chào lại sau thời gian dài (ít trang trọng hơn),J4,お久しぶりです。お変わりないですか。,Lâu quá. Anh vẫn khỏe chứ?
v157,2.1,Chào hỏi & Ứng xử (bổ sung),お忙しいところ恐れ入ります,oisogashii tokoro osore irimasu,"Biết anh bận, xin phép...",Mở đầu khi nhờ việc người bận,J3,お忙しいところ恐れ入りますが、少々お時間をいただけますか。,"Biết anh bận, có thể dành chút thời gian?"
v158,2.1,Chào hỏi & Ứng xử (bổ sung),とんでもございません,tondemo gozaimasen,Không có gì đâu ạ,Đáp lại lời khen/cảm ơn,J3,とんでもございません。当然のことです。,Không có gì. Đó là việc nên làm.
v159,2.1,Chào hỏi & Ứng xử (bổ sung),おかげさまで,okagesamade,Nhờ ơn (anh/chị),Thể hiện biết ơn sự giúp đỡ,J4,おかげさまで、プロジェクトは順調です。,"Nhờ ơn mọi người, dự án thuận lợi."
v160,2.1,Chào hỏi & Ứng xử (bổ sung),ご無理なさらないでください,gomuri nasaranaide kudasai,Đừng cố quá sức,Thể hiện quan tâm đồng nghiệp,J3,ご無理なさらないでください。お体を大切に。,Đừng cố quá. Giữ gìn sức khỏe.
v161,2.1,Chào hỏi & Ứng xử (bổ sung),お力になれれば幸いです,ochikara ni narereba saiwai desu,Nếu giúp được thì vui,Đề nghị giúp đỡ lịch sự,J3,何かお力になれれば幸いです。,Nếu giúp được gì thì vui lắm.
v162,2.1,Chào hỏi & Ứng xử (bổ sung),気をつけてお帰りください,ki wo tsukete okaeri kudasai,Về cẩn thận nhé,Tiễn khách về,J4,本日はありがとうございました。気をつけてお帰りください。,Cảm ơn hôm nay. Về cẩn thận nhé.
v163,2.1,Chào hỏi & Ứng xử (bổ sung),お邪魔いたします,ojama itashimasu,Xin phép làm phiền,Khi vào phòng người khác,J4,お邪魔いたします。少しご相談があります。,Xin phép. Có chút muốn trao đổi.
v164,2.1,Chào hỏi & Ứng xử (bổ sung),ご足労いただき,gosokurou itadaki,Phiền anh đến tận nơi,Cảm ơn khách đã bỏ công đến,J2,ご足労いただきありがとうございます。,Cảm ơn đã bỏ công đến.
v165,2.2,Họp hành (bổ sung),議長,gichou,Chủ tọa,Người điều hành cuộc họp,J3,議長が会議を進行します。,Chủ tọa điều hành họp.
v166,2.2,Họp hành (bổ sung),採決,saiketsu,Biểu quyết,Vote trong cuộc họp,J2,採決を取ります。,Tiến hành biểu quyết.
v167,2.2,Họp hành (bổ sung),満場一致,manjou icchi,Nhất trí toàn bộ,Unanimous,J2,満場一致で承認されました。,Được nhất trí phê duyệt.
